"Active","Aktiv"
"Album","Album"
"Album Tracks","Album Titel"
"Allow","Erlauben"
"An error occured loading the file","Beim Laden der Datei trat ein Fehler auf"
"Artist","Künstler"
"Complete Album Download","Ganzes Album herunterladen"
"Date","Datum"
"Delete","Löschen"
"Disabled","Inaktiv"
"DOWNLOAD","DOWNLOAD"
"Downloads","Downloads"
"Download Track","Download Track"
"Download of Track(s):","Folgende Titel herunterladen:"
"Enable Downloads","Downloads erlauben"
"Enable Download of complete Album","Herunterladen des gesamten Albums erlauben"
"Enable Mytunes Player","Mytunes Player aktivieren"
"File","Datei"
"from","von"
"Keep Simple Product","Simple Product behalten"
"Max. Downloads","Max. Downloads"
"My Audio Downloads","Meine Audio Downloads"
"mytunes_adminhtml_transform_product_type_notice","Um Mytunes Einstellungen für dieses Produkt zu verwenden, muss es zuerst in ein Mytunes Produkt konvertiert werden."
"mytunes_checkout_payment_notice","Beachten Sie bitte, dass Downloads nur dann unmittelbar zur Verfügung stehen, wenn Sie eine Zahlungsart mit Sofort-Bezahlung verwenden (z.B. Paypal). Anderenfalls werden ihre Downloads freigeschaltet, sobald Ihre Zahlung bei uns eingegangen ist. Sie werden dann umgehend per Email über die Aktivierung informiert."
"Mytunes GEMA Report","Mytunes GEMA Bericht"
"Mytunes Player","Mytunes Player"
"Mytunes Product","Mytunes Produkt"
"New Mytunes Product Sku","Sku des neuen Mytunes Produkt"
"No","Nein"
"No downloads left","Keine weiteren Downloads verfügbar"
"No items found.","Keine Einträge gefunden."
"Order #","Bestellnr."
"Pending","Wartet auf Bestätigung"
"Price","Preis"
"Price for complete Album Download","Preis für Album Download"
"Price per Item","Preis pro Stück"
"Remaining","Verbleibend"
"Remaining Downloads","Verbleibende Downloads"
"Sample Creation","Vorschau erstellen"
"Settings","Einstellungen"
"Single Download","Einzeldownload"
"Start Download","Download beginnen"
"Status","Status"
"The Simple Product has been duplicated.","Das Produkt wurde dupliziert."
"The product was transformed to a Mytunes Product. You can now add Mytunes Options to it.","Das Produkt wurde in ein Mytunes Produkt konvertiert. Bitte nehmen Sie jetzt Mytunes-spezifische Einstellungen vor."
"This download is currently not activated","Dieser Download ist zur Zeit nicht verfügbar"
"Times downloaded","Anzahl Verkäufe"
"Times sold","Anzahl Verkäufe"
"Title","Titel"
"to","bis"
"Total","Gesamt"
"Total bought","Gesamt verfügbar"
"Track","Titel"
"Track Nr.","Titelnr."
"Transform Product","Produkt konvertieren"
"Transform Simple Product to Mytunes Product","Simple Product in Mytunes Product konvertieren"
"Turnover","Umsatz"
"Unlimited","Unbegrenzt"
"View Order","Bestellung ansehen"
"Works","Werke"
"Yes","Ja"
"You have not purchased any audio downloads yet.","Sie haben noch keine Audio Downloads erworben."
"You need JavaScript enabled in your browser to display this content.","Um diesen Inhalt anzeigen zu können, muss JavaScript im Browser aktiviert werden."
